x,y
13486.23827741193,9649.94124981753
13546.664199397579,9736.016246416033
13606.554251075017,9821.706111889273
13665.906063351755,9907.007456572162
13724.717288426627,9991.91690616848
13782.985599882679,10076.431101884338
13840.708692779182,10160.546700561046
13897.884283742826,10244.260374807365
13954.510111058014,10327.568813131127
14010.583934756369,10410.468720070226
14066.103536705308,10492.95681632298
14121.066720695808,10575.029838877854
14175.471312529266,10656.68454114253
14229.315160103508,10737.91769307234
14282.59613349794,10818.726081298038
14335.31212505777,10899.106509252906
14387.461049477406,10979.055797299205
14439.040843882933,11058.570782853958
14490.049467913715,11137.648320514045
14540.48490380312,11216.285282180634
14590.34515645832,11294.478557182914
14639.628253539215,11372.22505240115
14688.332245536467,11449.52169238904
14736.4552058486,11526.365419495365
14783.995230858223,11602.753193984943
14830.950440007327,11678.68199415888
14877.318975871676,11754.148816474095
14923.099004234282,11829.150675662126
14968.288714157965,11903.684604847234
15012.886318056975,11977.747655663754
15056.890051767728,12051.336898372727
15100.29817461857,12124.44942197779
15143.108969498648,12197.082334340339
15185.320742925816,12269.232762293917
15226.931825113654,12340.897851757882
15267.940570037488,12412.074767850303
15308.345355499527,12482.760695000095
15348.144583193018,12552.952837058408
15387.336678765481,12622.64841740923
15425.920091880982,12691.844679079204
15463.893296281449,12760.53888484672
15501.254789847071,12828.728317350173
15538.003094655696,12896.410279195446
15574.136757041306,12963.582093062634
15609.654347651514,13030.241101811942
15644.554461504109,13096.38466858878
15678.83571804263,13162.010176928095
15712.496761190981,13227.115030857858
15745.536259407072,13291.696655001748
15777.95290573549,13355.752494681044
15809.745417859203,13419.280016015662
15840.912538150278,13482.276706024408
15871.453033719637,13544.740072724366
15901.365696465818,13606.667645229492
15930.64934312278,13668.056973848346
15959.302815306686,13728.905630180987
15987.32497956175,13789.211207215052
16014.714727405057,13848.971319420965
16041.47097537042,13908.183602846297
16067.592665051237,13966.845715209274
16093.078763142354,14024.95533599145
16117.928261480949,14082.510166529482
16142.140177086403,14139.507930106065
16165.713552199191,14195.94637204
16188.647454318767,14251.82325977537
16210.940976240445,14307.136382969864
16232.593236091296,14361.88355358221
16253.603377365025,14416.062605958728
16273.970568955854,14469.671396918991
16293.694005191403,14522.707805840624
16312.772905864545,14575.169734743158
16331.206516264294,14627.055108371049
16348.994107205635,14678.36187427576
16366.134975058389,14729.088002896948
16382.628441775021,14779.231487642737
16398.47385491749,14828.79034496913
16413.67058768305,14877.762614458428
16428.218038929022,14926.146358896814
16442.115633196612,14973.939664350957
16455.36282073363,15021.140640243748
16467.959077516287,15067.747419429063
16479.90390526988,15113.758158265637
16491.196831488527,15159.171036689992
16501.83740945385,15203.984258288423
16511.82521825265,15248.196050368075
16521.15986279355,15291.804664027057
16529.84097382263,15334.808374223623
16537.868207938034,15377.205479844415
16545.241247603553,15418.99430377175
16551.95980116118,15460.173192949966
16558.023602842663,15500.740518450813
16563.43241277999,15540.694675537885
16568.18601701491,15580.0340837301
16572.28422750737,15618.75718686422
16575.726882142986,15656.862453156418
16578.513844739406,15694.348375262853
16580.64500505175,15731.21347033931
16582.12027877693,15767.456280099857
16582.939607557004,15803.075370874523
16583.1029589815,15838.06933366602
16582.610326588656,15872.43678420547
16581.46172986571,15906.176363007173
16579.657214248127,15939.286735422367
16577.196851117784,15971.766591692052
16574.08073780015,16003.614646998769
16570.308997560453,16034.829641517452
16565.881779598792,16065.410340465236
16560.79925904423,16095.355534150327
16555.061636947878,16124.664038019837
16548.669140274935,16153.334692706654
16541.622021895706,16181.366364075291
16533.92056057561,16208.757943266759
16525.565060964153,16235.508346742427
16516.555853582846,16261.616516326882
16506.89329481219,16287.081419249796
16496.57776687752,16311.902048186766
16485.609677833905,16336.077421299175
16473.989461550034,16359.606582273016
16461.717577691015,16382.488600356748
16448.794511700202,16404.722570398073
16435.220774780006,16426.307612879777
16420.99690387166,16447.24287395451
16406.123461633986,16467.52752547856
16390.60103642113,16487.160765044602
16374.430242259292,16506.14181601347
16357.611718822447,16524.469927544837
16340.146131407022,16542.144374626958
16322.034170905592,16559.164458105315
16303.276553779548,16575.52950471029
16283.87402203075,16591.23886708381
16263.827343172186,16606.29192380493
16243.1373101976,16620.688079414416
16221.80474155013,16634.426764438325
16199.830481089924,16647.507435410516
16177.21539806078,16659.92957489414
16153.960387055735,16671.692691502125
16130.06636798169,16682.796319916593
16105.534286023027,16693.240020907295
16080.365111604206,16703.02338134896
16054.559840351383,16712.146014237656
16028.119493053035,16720.60755870608
16001.045115619567,16728.407680037853
15973.337779041947,16735.54606968075
15944.998579349332,16742.022445258895
15916.028637565725,16747.836550583954
15886.429099665616,16752.988155665254
15856.20113652866,16757.47705671889
15825.345943893357,16761.30307617577
15793.86474230975,16764.466062688654
15761.758777091149,16766.96589113814
15729.02931826486,16768.802462637606
15695.677660521955,16769.97570453713
15661.705123166053,16770.48557042635
15627.113050061136,16770.332040136327
15591.902809578385,16769.515119740303
15556.075794542048,16768.0348415535
15519.63342217435,16765.891264131824
15482.577134039435,16763.084472269533
15444.908395986326,16759.61457699592
15406.628698090957,16755.481715570884
15367.739554597218,16750.68605147953
15328.242503857058,16745.227774425675
15288.139108269643,16739.107100324367
15247.430954219526,16732.32427129333
15206.119652013927,16724.87955564339
15164.206835819004,16716.773247867874
15121.694163595228,16708.00566863092
15078.58331703179,16698.577164754857
15034.87600148008,16688.488109206424
14990.573945886228,16677.738901082044
14945.678902722717,16666.329965592053
14900.192647919044,16654.26175404384
14854.116980791492,16641.53474382403
14807.453723971928,16628.149438379583
14760.20472333573,16614.106367197877
14712.371847928742,16599.406085785773
14663.956989893366,16584.04917564763
14614.962064393701,16568.036244262315
14565.38900953978,16551.367925059163
14515.239786310913,16534.044877392917
14464.516378478103,16516.06778651766
14413.220792525593,16497.43736355969
14361.355057571478,16478.154345489405
14308.921225287437,16458.219495092144
14255.921369817599,16437.633600938017
14202.357587696457,16416.3974773507
14148.231997765968,16394.511964375237
14093.54674109172,16371.9779277448
14038.303980878245,16348.796258846445
13982.505902383436,16324.96787468586
13926.154712832124,16300.493717851074
13869.252641328745,16275.374756475187
13811.801938769178,16249.611984198064
13753.8048777517,16223.206420127026
13695.263752487077,16196.159108796548
13636.18087870784,16168.471120126937
13576.558593576643,16140.143549381994
13516.39925559385,16111.177517125714
13455.7052445042,16081.574169177937
13394.478961202707,16051.33467656903
13332.722827639656,16020.460235493572
13270.439286724826,15988.952067263022
13207.630802230819,15956.811418257417
13144.299858695642,15924.039559876068
13080.44896132439,15890.637788487256
13016.080635890165,15856.60742537697
12951.197428634161,15821.94981669662
12885.801906164932,15786.666333409801
12819.89665535688,15750.75837123806
12753.484283247906,15714.227350605672
12686.567416936301,15677.074716583473
12619.14870347681,15639.301938831679
12551.230809775929,15600.910511541751
12482.816422486409,15561.90195337731
12413.908247900978,15522.27780741403
12344.509011845283,15482.039641078625
12274.621459570075,15441.18904608683
12204.248355642605,15399.72763838045
12133.392483837257,15357.657058063418
12062.056647025456,15314.978969336942
11990.24366706476,15271.69506043365
11917.95638468726,15227.807043550825
11845.197659387202,15183.316654782664
11771.97036930787,15138.225654051612
11698.277411127725,15092.535825038736
11624.121699945841,15046.248975113167
11549.506169166578,14999.366935260618
11474.433770383543,14951.891560010936
11398.907473262836,14903.824727364758
11322.930265425584,14855.168338719215
11246.505152329752,14805.924318792715
11169.635157151248,14756.094615548813
11092.323320664349,14705.68120011915
11014.572701121408,14654.68606672548
10936.386374131871,14603.111232600786
10857.767432540635,14550.95873790949
10778.718986305681,14498.230645666734
10699.24416237506,14444.92904165678
10619.346104563205,14391.056034350515
10539.02797342656,14336.613754822018
10458.292946138565,14281.604356664282
10377.144216363971,14226.030015904023
10295.584994132514,14169.892930915592
10213.618505711918,14113.195322334012
10131.247993480292,14055.939432967152
10048.476715797859,13998.127527706985
9965.307946878063,13939.761893440018
9881.744976658058,13880.844838956804
9797.79111066856,13821.378694860638
9713.44966990309,13761.365813475344
9628.723990686605,13700.808568752234
9543.617424543523,13639.709356176198
9458.133338065145,13578.070592670945
9372.275112776473,13515.894716503391
9286.046145002465,13453.184187187224
9199.449845733669,13389.941485385587
9112.489640491298,13326.169112812973
9025.168969191724,13261.869592136249
8937.491286010407,13197.045466874868
8849.460059245253,13131.699301300263
8761.078771179424,13065.833680334405
8672.350917943584,12999.451209447541
8583.2800093776,12932.554514555151
8493.869568891701,12865.146241914053
8404.1231333271,12797.229058017729
8314.0442528161,12728.805649490852
8223.636490641638,12659.878722983007
8132.9034230963525,12590.451005061623
8041.848639341094,12520.525242104111
7950.475741262968,12450.104200189235
7858.788343332835,12379.19066498769
7766.790072462345,12307.787441651897
7674.484567860461,12235.89735470506
7581.8754808894955,12163.523247929414
7488.966474920695,12090.667984253752
7395.761225189295,12017.334445640156
7302.263418649161,11943.525532970005
7208.47675382693,11869.244165929224
7114.404940675712,11794.493282892787
7020.051700428332,11719.275840808476
6925.420765450135,11643.59481507993
6830.51587909133,11567.453199448928
6735.340795538919,11490.854005876969
6639.899279668203,11413.800264426132
6544.195106893829,11336.295023139208
6448.232063020464,11258.34134791913
6352.01394409304,11179.942322407704
6255.5445562465775,11101.101047863609
6158.8277155556325,11021.820643039731
6061.867247883349,10942.104244059796
5964.666988730101,10861.955004294306
5867.230783081793,10781.376094235802
5769.562485257741,10700.370701373446
5671.665958758227,10618.942030066948
5573.545076111646,10537.09330141978
5475.203718721334,10454.827753151787
5376.645776712029,10372.148639471092
5277.8751487759855,10289.059230945377
5178.89574201874,10205.5628143725
5079.711471804592,10121.662692650501
4980.326261601679,10037.362184646916
4880.744042826803,9952.664625067508
4780.968754689905,9867.573364324357
4681.004344038237,9782.09176840332
4580.854765200238,9696.223218730882
4480.523979829128,9609.971112040412
4380.015956746158,9523.338860237762
4279.334671783645,9436.329890266337
4178.484107627692,9348.947643971514
4077.468253660634,9261.195577964496
3976.2911058032396,9173.077163485581
3874.956666356634,9084.595886266841
3773.46894384399,8995.755246394254
3671.8319528519505,8906.558758169223
3570.049713871821,8817.009949969577
3468.126253140542,8727.11236411
3366.065602481407,8636.86955670189
3263.8717991445837,8546.285097512704
3161.548885647415,8455.36256982475
3059.1009096144935,8364.105570293425
2956.531923617559,8272.51770880495
2853.845985015185,8180.602608333577
2751.0471557922792,8088.363904798264
2648.139502399411,7995.805246918857
2545.127095591941,7902.9302960717505
2442.0140102690048,7809.742726145057
2338.804325312308,7716.24622339327
2235.502123424777,7622.44448629145
2132.1114909690914,7528.3412253889355
2028.6365178059814,7433.9401631625415
1925.081297132484,7339.245033869317
1821.4499253200174,7244.259583398832
1717.7465017523373,7148.987569124995
1613.9751286633727,7053.432759757423
1510.1399109749627,6957.598935192364
1406.2449561344692,6861.489886363167
1302.2943739522925,6765.109415090327
1198.2922764393097,6668.4613339311
1094.2427776442091,6571.549466028681
990.1499934907415,6474.377644960968
886.0180416149142,6376.949714588923
781.8510412021205,6279.269528904527
677.6531128241668,6181.340951878303
573.4283782762877,6083.167857306484
469.18096041410536,5984.754128657774
364.9149829905318,5886.103658919725
260.63457049264434,5787.220350444739
156.34384797853727,5688.108114795712
52.04694091414058,5588.770872591289
-52.25202498997078,5489.212553350786
-156.54892394178205,5389.437095338735
-260.83963023104025,5289.448445409113
-365.12001839246295,5189.2505588491995
-469.3859633689044,5088.84739922314
-573.6333406745798,4988.242938215123
-677.8580265581795,4887.441155472294
-782.055898166007,4786.44603844733
-886.2228337050719,4685.261582240696
-990.3547126061294,4583.89178944262
-1094.4474156866854,4482.340669974756
-1198.496825313934,4380.612240931566
-1302.4988255676508,4278.710526421402
-1406.4493024029953,4176.63955740734
-1510.3441438132568,4074.403371547719
-1614.1792399925207,3972.0060130364136
-1717.950483498239,3869.4515324428603
-1821.6537694136914,3766.743986551852
-1925.284995510392,3663.887438203021
-2028.8400624103533,3560.885956130148
-2132.314873748239,3457.7436148002116
-2235.705336333417,3354.4644942522127
-2339.0073603118617,3251.052679935772
-2442.216859327954,3147.5122625495314
-2545.3297506861127,3043.847337879326
-2648.3419555122973,2940.062006636179
-2751.2493989153754,2836.160374294065
-2854.0480101482817,2732.146550927543
-2956.7337227690805,2628.024651049137
-3059.3024748018033,2523.798793446591
-3161.750208897116,2419.4731010199685
-3264.0728724928604,2315.0517006185037
-3366.2664179743233,2210.5387228774025
-3468.326802834372,2105.9383020544274
-3570.249989833347,2001.2545758663518
-3672.0319471587845,1896.491685325299
-3773.668648584885,1791.6537745749165
-3875.1560736317942,1686.7449907264609
-3976.490207724639,1581.7694836947348
-4077.667042352329,1476.7314060339413
-4178.682575226124,1371.6349127734056
-4279.53281043796,1266.4841612532273
-4380.21375861852,1161.2833109598023
-4480.72143709501,1056.0365233613365
-4581.051870048755,950.7479617431582
-4681.201088672431,845.4217910430852
-4781.165131327084,740.0621776866465
-4880.940043698824,634.6732894222732
-4980.521878955266,529.2592951564366
-5079.906697901639,423.8243647887339
-5179.090569136614,318.37266904694206
-5278.06956920784,212.9083793220252
-5376.839782767107,107.4356675031413
-5475.397302725268,1.9587058125980548
-5573.7382304067605,-103.51833335918036
-5671.8586757038565,-208.99127761871478
-5769.754757230505,-314.455954734487
-5867.422602475914,-419.90819280202413
-5964.858347957714,-525.3438204089052
-6062.058139374786,-630.7586667997775
-6159.018131759734,-736.1485620413305
-6255.734489630977,-841.5093371872645
-6352.2033871444755,-946.8368244431867
-6448.421008245065,-1052.12685733149
-6544.383546817421,-1157.3752708561633
-6640.0872068366025,-1262.5779016675424
-6735.528202518223,-1367.730588227012
-6830.70275846821,-1472.8291709716186
-6925.607109832144,-1577.8694924786187
-7020.237502444173,-1682.847397629911
-7114.590192975541,-1787.7587337764362
-7208.66144908266,-1892.5993509024293
-7302.447549554733,-1997.365101789579
-7395.944784460979,-2102.051842181085
-7489.149455297366,-2206.655430945596
-7582.057875132934,-2311.171730241017
-7674.666368755627,-2415.5966056781963
-7766.971272817681,-2519.9259264844713
-7858.96893598053,-2624.15556566706
-7950.655719059257,-2728.2814001763318
-8042.027995166534,-2832.2993110688976
-8133.0821498560945,-2936.2051836705223
-8223.814581265722,-3039.994907738932
-8314.221700259726,-3143.664377626369
-8404.299930570924,-3247.2094924420226
-8494.045708942082,-3350.626156214238
-8583.455485266908,-3453.910278052541
-8672.525722730456,-3557.057772309474
-8761.25289794904,-3660.0645587421986
-8849.633501109616,-3762.9265626739098
-8937.664036108616,-3865.63971515502
-9025.34102069024,-3968.1999531241045
-9112.660986584222,-4070.603219568644
-9199.620479643007,-4172.845463685496
-9286.216059978378,-4274.922641041119
-9372.444302097576,-4376.830713731602
-9458.301795038751,-4478.565650542356
-9543.785142505923,-4580.123427107593
-9628.890963003318,-4681.500026069519
-9713.615889969133,-4782.691437237244
-9797.9565719087,-4883.693657745422
-9881.90967252709,-4984.502692212591
-9965.471870861049,-5085.114552899215
-10048.6398614104,-5185.525259865435
-10131.41035426878,-5285.73084112851
-10213.780075253788,-5385.727332819918
-10295.745766036505,-5485.510779342182
-10377.304184270368,-5585.077233525311
-10458.452103719455,-5684.4227567829785
-10539.186314386088,-5783.543419268292
-10619.503622637825,-5882.435300029265
-10699.400851333772,-5981.094487163905
-10778.87483995028,-6079.517077974972
-10857.922444705964,-6177.699179124349
-10936.540538686057,-6275.636906787056
-11014.726011966104,-6373.326386804884
-11092.475771734988,-6470.7637548396515
-11169.786742417265,-6567.94515652605
-11246.655865794835,-6664.866747624136
-11323.080101127915,-6761.524694171389
-11399.056425275296,-6857.915172634351
-11474.581832813985,-6954.034370059921
-11549.653336158046,-7049.8784842261475
-11624.267965676798,-7145.443723792652
-11698.422769812281,-7240.726308450599
-11772.114815196019,-7335.72246907223
-11845.34118676505,-7430.428447859973
-11918.098987877238,-7524.840498495083
-11990.385340425863,-7618.9548862858355
-12062.197384953457,-7712.767888315262
-12133.532280764939,-7806.275793588423
-12204.387206039974,-7899.474903179206
-12274.759357944571,-7992.361530376624
-12344.64595274201,-8084.932000830686
-12414.044225902911,-8177.182652697723
-12482.951432214622,-8269.109836785248
-12551.364845889791,-8360.709916696303
-12619.281760674206,-8451.979268973311
-12686.699489953842,-8542.914283241404
-12753.615366861128,-8633.511362351246
-12820.026744380462,-8723.766922521332
-12885.930995452898,-8813.67739347973
-12951.325513080074,-8903.23921860534
-13016.207710427345,-8992.448855068567
-13080.575020926106,-9081.302773971478
-13144.424898375308,-9169.797460487367
-13207.754817042192,-9257.929413999835
-13270.562271762208,-9345.69514824124
-13332.844778038087,-9433.091191430603
-13394.599872138146,-9520.114086410953
-13455.825111193732,-9606.760390786074
-13516.518073295862,-9693.026677056683
-13576.676357591023,-9778.909532756012
-13636.297584376149,-9864.405560584793
-13695.379395192753,-9949.51137854565
-13753.919452920218,-10034.22362007688
-13811.91544186825,-10118.538934185626
-13869.365067868492,-10202.453985580436
-13926.266058365241,-10285.965454803181
-13982.61616250539,-10369.070038360396
-14038.413151227434,-10451.764448853932
-14093.654817349656,-10534.045415111
-14148.338975657436,-10615.90968231359
-14202.463462989695,-10697.354012127189
-14256.026138324458,-10778.375182828911
-14309.024882863556,-10858.969989434929
-14361.457600116431,-10939.135243827248
-14413.322215983073,-11018.867774879827
-14464.616678836064,-11098.164428584028
-14515.338959601733,-11177.02206817336
-14565.487051840437,-11255.437574247586
-14615.05897182589,-11333.407844896079
-14664.052758623688,-11410.929795820583
-14712.466474168836,-11488.000360457165
-14760.298203342429,-11564.616490097556
-14807.546054047416,-11640.77515400973
-14854.20815728343,-11716.473339557802
-14900.282667220734,-11791.708052321195
-14945.76776127323,-11866.476316213097
-14990.661640170554,-11940.775173598173
-15034.962528029264,-12014.601685409583
-15078.66867242307,-12087.952931265227
-15121.778344452172,-12160.826009583272
-15164.289838811641,-12233.218037696937
-15206.201473858875,-12305.126151968507
-15247.51159168013,-12376.547507902631
-15288.218558156093,-12447.479280258838
-15328.320763026531,-12517.918663163278
-15367.816619953985,-12587.862870219744
-15406.704566586515,-12657.30913461987
-15444.983064619522,-12726.2547092526
-15482.650599856572,-12794.696866812825
-15519.705682269314,-12862.632899909306
-15556.146846056417,-12930.06012117174
-15591.972649701553,-12996.975863357091
-15627.181676030414,-13063.377479455077
-15661.772532266774,-13129.262342792892
-15695.743850087592,-13194.6278471391
-15729.094285677133,-13259.471406806744
-15761.822519780115,-13323.79045675562
-15793.927257753918,-13387.582452693747
-15825.407229619781,-13450.844871178006
-15856.261190113037,-13513.575209713967
-15886.487918732384,-13575.770986854885
-15916.086219788158,-13637.429742299846
-15945.054922449632,-13698.549036991102
-15973.392880791322,-13759.126453210547
-16001.098973838343,-13819.159594675366
-16028.172105610724,-13878.646086632809
-16054.611205166768,-13937.583575954139
-16080.41522664543,-13995.96973122772
-16105.583149307673,-14053.802242851234
-16130.113977576855,-14111.078823123049
-16154.006741078108,-14167.797206332709
-16177.260494676717,-14223.955148850557
-16199.874318515527,-14279.550429216502
-16221.8473180513,-14334.580848227874
-16243.178624090126,-14389.044229026436
-16263.867392821798,-14442.938417184478
-16283.912805853191,-14496.261280790059
-16303.314070240629,-14549.010710531327
-16322.070418521265,-14601.18461977996
