s,d,n,p,k,seed,error_med,num_na
100,2,1000,high,large,278,0.34248482421811344,9
100,3,1000,high,large,278,0.3831055561203119,12
100,4,1000,high,large,278,0.37972714405868335,12
100,5,1000,high,large,278,0.4281774252071046,16
100,6,1000,high,large,278,0.4472889276267006,21
100,7,1000,high,large,278,0.48588215545693947,27
100,8,1000,high,large,278,0.5004752159755683,26
100,9,1000,high,large,278,0.45770601271528244,29
100,10,1000,high,large,278,0.500100466548818,20
100,11,1000,high,large,278,0.5661713129750703,31
100,12,1000,high,large,278,0.5482444113069798,38
100,13,1000,high,large,278,0.5458014141873787,32
100,14,1000,high,large,278,0.5136978319200464,37
100,15,1000,high,large,278,0.6132238958855956,35
100,16,1000,high,large,278,0.6895475981205668,38
100,17,1000,high,large,278,0.596701907248223,32
100,18,1000,high,large,278,0.5975805739834952,43
100,19,1000,high,large,278,0.5697830263608864,43
100,20,1000,high,large,278,0.6664557905968442,41
100,21,1000,high,large,278,0.6256236193432521,49
100,22,1000,high,large,278,0.660961175982349,43
100,23,1000,high,large,278,0.598905238089785,36
100,24,1000,high,large,278,0.685203023982518,35
100,25,1000,high,large,278,0.6485216628580279,44
100,26,1000,high,large,278,0.7332464542872597,40
100,27,1000,high,large,278,0.6419579943647692,41
100,28,1000,high,large,278,0.6482033377058893,49
100,29,1000,high,large,278,0.7845313667671677,57
100,30,1000,high,large,278,0.6088025002584754,57
