s,d,n,p,k,seed,error_naive_med,error_elliptical_med,num_na
100,2,1000,low,large,278,118.66557019686218,0.276379975782413,9
100,3,1000,low,large,278,128.71420350631905,0.32504488691729466,18
100,4,1000,low,large,278,188.81694776476212,0.3367453499662999,20
100,5,1000,low,large,278,212.5464408050372,0.3785975838979511,24
100,6,1000,low,large,278,208.15709269734688,0.406505632492643,28
100,7,1000,low,large,278,203.36394634649335,0.4152022007951518,32
100,8,1000,low,large,278,257.18710036430673,0.49802922178042786,35
100,9,1000,low,large,278,201.28878559971707,0.4260956619888612,39
100,10,1000,low,large,278,329.23825744143704,0.4522926136134534,26
100,11,1000,low,large,278,285.90824925518007,0.5171448067806766,38
100,12,1000,low,large,278,306.80086116176454,0.48850340571063444,45
100,13,1000,low,large,278,306.1442028504402,0.4820832200357723,43
100,14,1000,low,large,278,256.9960987640797,0.4543649584157687,50
100,15,1000,low,large,278,353.95241792649546,0.6059982224011127,45
100,16,1000,low,large,278,337.17985103839555,0.6481171210702991,44
100,17,1000,low,large,278,397.566620643973,0.5627389304597346,41
100,18,1000,low,large,278,330.13691814215974,0.5491199023173565,52
100,19,1000,low,large,278,326.90073089000134,0.5199818117380515,57
100,20,1000,low,large,278,402.09893565119546,0.5983510263849411,50
100,21,1000,low,large,278,343.65331840521094,0.5521441088201482,53
100,22,1000,low,large,278,416.41896942749406,0.5979738733184129,53
100,23,1000,low,large,278,508.3963086300139,0.5543890175467097,47
100,24,1000,low,large,278,539.6214886666137,0.6970020224967614,47
100,25,1000,low,large,278,498.2694993208278,0.6119861279963219,54
100,26,1000,low,large,278,525.3748738442043,0.6859524740655544,50
100,27,1000,low,large,278,504.8424190256934,0.5797629500200292,53
100,28,1000,low,large,278,423.0605128717116,0.5895402601315225,64
100,29,1000,low,large,278,387.4683105743994,0.7159543889843554,63
100,30,1000,low,large,278,409.6061590337832,0.5516613127648788,62
