s,d,n,p,k,seed,error_med,num_na
100,2,1000,medium,medium,278,0.32494804253022436,6
100,3,1000,medium,medium,278,0.3785443892021399,6
100,4,1000,medium,medium,278,0.3992579521013168,16
100,5,1000,medium,medium,278,0.44379959454916695,19
100,6,1000,medium,medium,278,0.4183881600801608,19
100,7,1000,medium,medium,278,0.48788360891347893,23
100,8,1000,medium,medium,278,0.5161361784473337,23
100,9,1000,medium,medium,278,0.5063896212193897,21
100,10,1000,medium,medium,278,0.5587571752567336,20
100,11,1000,medium,medium,278,0.5160514235033873,25
100,12,1000,medium,medium,278,0.5409566150990406,25
100,13,1000,medium,medium,278,0.5712507520155032,30
100,14,1000,medium,medium,278,0.5987482347007962,33
100,15,1000,medium,medium,278,0.605355992007828,28
100,16,1000,medium,medium,278,0.8283497246349967,32
100,17,1000,medium,medium,278,0.6546729209623019,37
100,18,1000,medium,medium,278,0.696910579310438,29
100,19,1000,medium,medium,278,0.610509133225074,44
100,20,1000,medium,medium,278,0.5976972147240852,37
100,21,1000,medium,medium,278,0.784233488326235,44
100,22,1000,medium,medium,278,0.7352405456876938,42
100,23,1000,medium,medium,278,0.7097058357810233,35
100,24,1000,medium,medium,278,0.7904468346061291,37
100,25,1000,medium,medium,278,0.7280256997048737,42
100,26,1000,medium,medium,278,0.7461549500565724,37
100,27,1000,medium,medium,278,0.7224092472177694,42
100,28,1000,medium,medium,278,0.7069820776377602,44
100,29,1000,medium,medium,278,0.7831183424092336,46
100,30,1000,medium,medium,278,0.6833549202136281,56
