s,d,n,p,k,seed,error_naive_med,error_elliptical_med,num_na
100,2,1000,medium,small,278,382.55017207589935,0.3997632431881221,6
100,3,1000,medium,small,278,425.8075475776889,0.4820258332551939,14
100,4,1000,medium,small,278,493.8742416323651,0.4718887620079373,15
100,5,1000,medium,small,278,618.8187289058078,0.49841095334167973,15
100,6,1000,medium,small,278,616.7429758765913,0.5680477798466328,17
100,7,1000,medium,small,278,650.8369012518378,0.5607464648774569,23
100,8,1000,medium,small,278,924.2735488831565,0.4967296261469644,16
100,9,1000,medium,small,278,733.8859528309001,0.5808184400244762,23
100,10,1000,medium,small,278,885.1155598303537,0.6019232240945838,24
100,11,1000,medium,small,278,892.5414908848768,0.6367732023807121,22
100,12,1000,medium,small,278,1088.349262207695,0.6418815597348202,23
100,13,1000,medium,small,278,1073.1203055015917,0.6067060676380671,25
100,14,1000,medium,small,278,1042.2229073433168,0.7399560806228886,31
100,15,1000,medium,small,278,1270.1972221988738,0.7605060692926393,24
100,16,1000,medium,small,278,1455.0713500533352,0.7499632375013112,21
100,17,1000,medium,small,278,1060.8706447190002,0.7011235384111761,36
100,18,1000,medium,small,278,1088.9174882172174,0.7090555652032384,25
100,19,1000,medium,small,278,1140.1579289828867,0.6531156335565496,32
100,20,1000,medium,small,278,1278.2550043973106,0.7206721700089924,32
100,21,1000,medium,small,278,1252.588317119903,0.8006976071413199,33
100,22,1000,medium,small,278,1519.219730313802,0.8112612102641963,33
100,23,1000,medium,small,278,1268.6312437803922,0.7630468947355641,32
100,24,1000,medium,small,278,1331.178163231223,0.7620122039082959,33
100,25,1000,medium,small,278,1556.315714776511,0.7149172780013366,32
100,26,1000,medium,small,278,1806.3030460484404,0.8396681531388107,26
100,27,1000,medium,small,278,1502.1123653818536,0.7634497884491933,38
100,28,1000,medium,small,278,1411.3556940993976,0.7907041141293094,39
100,29,1000,medium,small,278,1510.0430827223508,1.014484719347546,39
100,30,1000,medium,small,278,1510.8411544148053,0.8260669851213662,39
