s,d,n,p,k,seed,error_naive_med,error_elliptical_med,num_na
100,2,5000,high,large,278,1547.0733080820514,0.18648359551962101,7
100,3,5000,high,large,278,2283.6684945670445,0.2006556978818107,6
100,4,5000,high,large,278,2282.5590400223255,0.22835341200263093,13
100,5,5000,high,large,278,2409.7642249395367,0.2207508083929901,12
100,6,5000,high,large,278,3844.3282336207385,0.2575447520381079,13
100,7,5000,high,large,278,3282.503919791976,0.2479655739611598,18
100,8,5000,high,large,278,4164.259451592654,0.29123859898296545,19
100,9,5000,high,large,278,3564.830841610922,0.2401265264558603,24
100,10,5000,high,large,278,4248.013574916606,0.2676208733934825,21
100,11,5000,high,large,278,3672.6239389447283,0.2904885867937639,32
100,12,5000,high,large,278,4221.381015219629,0.2555791020361264,22
100,13,5000,high,large,278,4811.469898118683,0.27404960894217245,17
100,14,5000,high,large,278,4128.1894070522085,0.28782143722280074,31
100,15,5000,high,large,278,4122.582913790591,0.28599181152664555,31
100,16,5000,high,large,278,5148.94683739549,0.3037427172764822,26
100,17,5000,high,large,278,5489.802606798179,0.31827164947681075,28
100,18,5000,high,large,278,6257.150824899329,0.33421417182517904,26
100,19,5000,high,large,278,6072.297892226901,0.3192871256459229,33
100,20,5000,high,large,278,5670.609291697491,0.3139945335483342,34
100,21,5000,high,large,278,5378.451515287135,0.29559114668564845,34
100,22,5000,high,large,278,5394.696850175938,0.3263665203913238,38
100,23,5000,high,large,278,5854.898494424474,0.31660644927387915,37
100,24,5000,high,large,278,5706.664596813026,0.32640359519142637,45
100,25,5000,high,large,278,8631.940445238637,0.34616479578870096,25
100,26,5000,high,large,278,5585.4823635731955,0.32621866699593527,39
100,27,5000,high,large,278,6215.292911541052,0.3639701478434556,41
100,28,5000,high,large,278,7210.281950016484,0.36574496820446656,42
100,29,5000,high,large,278,8122.620402443939,0.3615480426021678,37
100,30,5000,high,large,278,7751.094485643507,0.40108227946737385,41
