s,d,n,p,k,seed,error_med,num_na
100,2,5000,low,large,278,0.14734137196260083,8
100,3,5000,low,large,278,0.17734496489856866,13
100,4,5000,low,large,278,0.20395039780177038,19
100,5,5000,low,large,278,0.19707432385086077,16
100,6,5000,low,large,278,0.22398188432931532,15
100,7,5000,low,large,278,0.21436326428273655,20
100,8,5000,low,large,278,0.25771378784804444,21
100,9,5000,low,large,278,0.2153691236544184,29
100,10,5000,low,large,278,0.24528730139518373,27
100,11,5000,low,large,278,0.2576789678962169,33
100,12,5000,low,large,278,0.23618535446779898,27
100,13,5000,low,large,278,0.2497508046976643,23
100,14,5000,low,large,278,0.27224260645538423,35
100,15,5000,low,large,278,0.2630656431240056,39
100,16,5000,low,large,278,0.28271630021072947,32
100,17,5000,low,large,278,0.2856067495284921,36
100,18,5000,low,large,278,0.2977363211927209,30
100,19,5000,low,large,278,0.29287084052988227,40
100,20,5000,low,large,278,0.2896752557473279,40
100,21,5000,low,large,278,0.28020915286342163,43
100,22,5000,low,large,278,0.31294429378853683,44
100,23,5000,low,large,278,0.28890006079172953,44
100,24,5000,low,large,278,0.2907702029522242,49
100,25,5000,low,large,278,0.32775118319820057,32
100,26,5000,low,large,278,0.30920727237546786,49
100,27,5000,low,large,278,0.33230487356332294,47
100,28,5000,low,large,278,0.3362284597132428,47
100,29,5000,low,large,278,0.32336029286027457,41
100,30,5000,low,large,278,0.36887635479987635,48
