s,d,n,p,k,seed,error_naive_med,error_elliptical_med,num_na
100,2,5000,medium,large,278,686.7818572458443,0.1673272873693903,8
100,3,5000,medium,large,278,1033.6689409120213,0.18524597425039968,9
100,4,5000,medium,large,278,1037.3019588368666,0.2163862962986129,16
100,5,5000,medium,large,278,1108.4107166186222,0.20849984140997135,15
100,6,5000,medium,large,278,1724.892402644895,0.24184978809779079,15
100,7,5000,medium,large,278,1487.1982950865931,0.23051100098436283,19
100,8,5000,medium,large,278,1858.1889233249876,0.2745585328748981,20
100,9,5000,medium,large,278,1635.78744672198,0.23207864804796074,28
100,10,5000,medium,large,278,1887.982519273467,0.2635134960543465,26
100,11,5000,medium,large,278,1673.5590499645468,0.2726156322986998,32
100,12,5000,medium,large,278,1930.4977780510274,0.24889175365969995,25
100,13,5000,medium,large,278,2165.478620891378,0.2639261489080076,20
100,14,5000,medium,large,278,1839.1400578277874,0.2923425830291544,35
100,15,5000,medium,large,278,1845.5385550773042,0.2710437819202287,35
100,16,5000,medium,large,278,2392.8040640177237,0.30049578340821426,29
100,17,5000,medium,large,278,2453.756999668106,0.3058776025802843,32
100,18,5000,medium,large,278,2899.6723285236453,0.3165777107433387,28
100,19,5000,medium,large,278,2744.0920415654236,0.30271293017501094,34
100,20,5000,medium,large,278,2586.1254893274527,0.298238380404085,37
100,21,5000,medium,large,278,2476.9377299439802,0.2858889296944771,38
100,22,5000,medium,large,278,2446.918371822571,0.32582869706358886,41
100,23,5000,medium,large,278,2659.3016801877257,0.3057821345671105,42
100,24,5000,medium,large,278,2590.7458931481187,0.3096332407754141,47
100,25,5000,medium,large,278,3915.5297544875543,0.3461652725569846,29
100,26,5000,medium,large,278,2557.9038200801947,0.31649566045210853,42
100,27,5000,medium,large,278,2811.960539531668,0.346027382279126,43
100,28,5000,medium,large,278,3202.593584389767,0.35030095165400366,45
100,29,5000,medium,large,278,3702.5595938156966,0.34404170563464137,40
100,30,5000,medium,large,278,3497.915656323257,0.3791806096234759,41
