s,d,n,p,k,seed,error_med,num_na
100,2,5000,high,medium,278,0.24751093201751395,3
100,3,5000,high,medium,278,0.2383645027725071,8
100,4,5000,high,medium,278,0.24957440281093857,9
100,5,5000,high,medium,278,0.26160960677849526,6
100,6,5000,high,medium,278,0.2743232442711247,10
100,7,5000,high,medium,278,0.2855479950844615,19
100,8,5000,high,medium,278,0.33030386774301623,13
100,9,5000,high,medium,278,0.29953700080251155,17
100,10,5000,high,medium,278,0.29634094090299484,24
100,11,5000,high,medium,278,0.33818176872837413,18
100,12,5000,high,medium,278,0.31836907569151196,22
100,13,5000,high,medium,278,0.31544704089572184,27
100,14,5000,high,medium,278,0.3555149855377846,26
100,15,5000,high,medium,278,0.3194944134243096,20
100,16,5000,high,medium,278,0.37760754188678236,17
100,17,5000,high,medium,278,0.3696541433658489,33
100,18,5000,high,medium,278,0.392952953904977,20
100,19,5000,high,medium,278,0.34153681039718986,21
100,20,5000,high,medium,278,0.37842541639575145,23
100,21,5000,high,medium,278,0.3986760107925724,32
100,22,5000,high,medium,278,0.38690915241015467,23
100,23,5000,high,medium,278,0.3990819930484967,20
100,24,5000,high,medium,278,0.36176657494537545,34
100,25,5000,high,medium,278,0.383094847399005,33
100,26,5000,high,medium,278,0.41188615160045305,30
100,27,5000,high,medium,278,0.4063144697289268,29
100,28,5000,high,medium,278,0.4073476573329284,36
100,29,5000,high,medium,278,0.3864331361752028,32
100,30,5000,high,medium,278,0.3976331903143622,40
