s,d,n,p,k,seed,error_med,num_na
100,2,5000,high,small,278,0.23778111385602124,2
100,3,5000,high,small,278,0.29172447788044475,5
100,4,5000,high,small,278,0.3060697310208287,7
100,5,5000,high,small,278,0.3051415021555208,5
100,6,5000,high,small,278,0.31313299921200777,5
100,7,5000,high,small,278,0.33654595039124624,9
100,8,5000,high,small,278,0.38404367892215496,12
100,9,5000,high,small,278,0.3510953082050238,14
100,10,5000,high,small,278,0.3147678766702151,21
100,11,5000,high,small,278,0.3530535691954637,17
100,12,5000,high,small,278,0.385048396819512,23
100,13,5000,high,small,278,0.42571379932884856,21
100,14,5000,high,small,278,0.41390838389397555,13
100,15,5000,high,small,278,0.3670787996264939,16
100,16,5000,high,small,278,0.44110507743519034,16
100,17,5000,high,small,278,0.4387121679240821,18
100,18,5000,high,small,278,0.41562485609673966,18
100,19,5000,high,small,278,0.44329332891502204,19
100,20,5000,high,small,278,0.4435388261810896,18
100,21,5000,high,small,278,0.4343011911679694,24
100,22,5000,high,small,278,0.47614835231007513,17
100,23,5000,high,small,278,0.44597705889329886,27
100,24,5000,high,small,278,0.398664298739171,28
100,25,5000,high,small,278,0.3948304218122485,17
100,26,5000,high,small,278,0.4231027911368905,34
100,27,5000,high,small,278,0.4621448037640059,24
100,28,5000,high,small,278,0.4296259428644711,30
100,29,5000,high,small,278,0.41268119190354685,24
100,30,5000,high,small,278,0.44751887837626086,24
