s,d,n,p,k,seed,error_med,num_na
100,2,5000,low,small,278,0.20193955685774978,6
100,3,5000,low,small,278,0.2474584447527836,4
100,4,5000,low,small,278,0.2654707638617295,9
100,5,5000,low,small,278,0.2663452101642657,10
100,6,5000,low,small,278,0.27756807485762436,11
100,7,5000,low,small,278,0.2785998184926777,11
100,8,5000,low,small,278,0.32669248038751664,15
100,9,5000,low,small,278,0.31930669294870184,19
100,10,5000,low,small,278,0.26550995055746257,24
100,11,5000,low,small,278,0.2821541293280713,18
100,12,5000,low,small,278,0.32490306778762773,30
100,13,5000,low,small,278,0.35862280812014335,22
100,14,5000,low,small,278,0.35447826354785095,18
100,15,5000,low,small,278,0.30285860956227795,21
100,16,5000,low,small,278,0.37887717965206713,18
100,17,5000,low,small,278,0.38288252439722026,24
100,18,5000,low,small,278,0.38249018600106544,22
100,19,5000,low,small,278,0.38829404945730905,24
100,20,5000,low,small,278,0.36641080609792587,20
100,21,5000,low,small,278,0.38678371999288996,28
100,22,5000,low,small,278,0.42975664160392807,22
100,23,5000,low,small,278,0.37808672869358184,28
100,24,5000,low,small,278,0.3538525323206153,33
100,25,5000,low,small,278,0.3480225894846451,22
100,26,5000,low,small,278,0.3827179576367239,41
100,27,5000,low,small,278,0.4019517979739411,27
100,28,5000,low,small,278,0.3813653359053135,39
100,29,5000,low,small,278,0.3816198461781586,31
100,30,5000,low,small,278,0.3991808274579499,30
